,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Femenino,2010-1,2021,Dependiente,Explotación de minas y canteras,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Femenino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Femenino,2010-1,2022,Dependiente,Explotación de minas y canteras,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Femenino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Femenino,2010-1,2023,Dependiente,Explotación de minas y canteras,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2016,Dependiente,Actividades financieras y de seguros,Más de 15 SMMLV,Más de 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2016,Dependiente,Industrias manufactureras,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2017,Dependiente,Actividades financieras y de seguros,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2017,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2018,Dependiente,Actividades financieras y de seguros,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
