Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
bulUyKwIlp4,Plan Premium EanX,"Jun 12, 2024",80,11,0.2015,0,222,1.35
GKzWWV6XESM,¿Cómo configurar audio en Second Life?,"Jul 13, 2016",193,10,0.2084,0,34,8.82
DB4wQ_a3xQM,Experiencia internacional en el norte de Europa,"Jul 28, 2017",214,10,0.2961,0,9,0
W73Yd1Zpc48,La nueva apuesta de la Universidad Ean: Escuela de Arte y Diseño Sostenible,"Mar 18, 2024",142,10,0.2575,0,35,2.86
XaZJ41o56Cg,"Edificio EAN Legacy, un proyecto único en Latinoamérica","Sep 19, 2017",121,10,0.0652,0,90,8.89
xpqVFzmGyLU,Tu futuro en marketing empieza aquí en la #Ean 💚,"Dec 11, 2025",54,10,0.0298,0,44,4.55
ET7I9W1MDSY,Paso a paso de los requisitos de admisión en la Universidad Ean,"Apr 11, 2024",76,10,0.0908,0,35,0
ximjWEDwJ5I,¿Los ingenieros tienen lo que se necesita para ser grandes emprendedores?,"Aug 16, 2018",121,10,0.1748,0,132,3.79
AIl8a7_rDX4,"¡Brigitte Baptiste te da la bienvenida al edificio Ean Legacy, nuestra nueva sede!","Jan 18, 2021",173,10,0.1785,0,89,7.87
nnCxitY2Rww,#PodcastEan | Del aula a la empresa: Experiencias cruzadas de dos practicantes,"Oct 31, 2025",1826,10,2.211,0,157,1.91
Nuidq535iCI,Universidad EAN,"Oct 29, 2015",66,10,0.0817,0,113,6.19
SPo8oO9eNRE,Conoce cómo la Universidad Ean se preparó con el Entorno Híbrido,"Jul 26, 2021",38,9,0.0826,0,50,2
IDRBtbn9bO4,"Competencia, crisis e innovación: la fórmula de Cinépolis | Visión Global Podcast","Sep 13, 2025",883,9,0.2283,0,70,2.86
0I86AFdhu30,Cuánto vale el sostenimiento de un hijo en Colombia,"May 12, 2023",974,9,0.5594,0,31,6.45
tlfQ8FwM9Lw,¿Por qué la fachada del Ean Legacy es única en el mundo?,"Oct 29, 2020",91,9,0.1395,0,27,22.22
SxoxDz6ii4c,Grados Eanistas 2025-1,"Jun 3, 2025",92,9,0.1259,0,124,5.65
s4aEKv96Pjs,¿Qué es Asperger? Un análisis desde la academia,"Sep 8, 2023",990,9,0.6083,0,19,5.26
h8EvSbM0PsU,"Foro: El Río Bogotá y la escasez de agua, ¿dos caras del mismo problema?","May 15, 2024",14630,9,1.29,0,157,1.91
we4ijtCDrOs,14 estudiantes de coreanos aprendieron español recorriendo Bogotá y viviendo el idioma en la Ean,"Jan 29, 2026",103,9,0.1163,0,47,6.38
k4qc1lwmwLk,"¡Conoce a Chontacones, un 'snack' de chontaduro con sello eanista!","Nov 15, 2019",290,8,0.3479,0,25,8
RZdQRFZdG6A,Colombia es sabor y color: así nos ven los extranjeros,"Jan 25, 2019",199,8,0.0657,0,96,6.25
1yATLyrB9KM,Doctorado en Gerencia de Proyectos,"Aug 10, 2015",147,8,0.1643,0,40,15
Zlve1kZYsrs,Beneficios tributarios para Pymes,"Oct 4, 2023",313,8,0.1577,0,28,7.14
ltoA4Wt7tQk,El mercado cambió: actualízate con #MicrocredencialesIA y #UniversidadEAN,"Jan 27, 2026",51,8,0.0317,0,85,2.35
k8apFMisL5g,"Conoce más nuestros programas de la Facultad de Administración, Finanzas y Ciencias Económicas","Apr 2, 2024",3173,8,5.3769,0,39,2.56
3ZVS5bTKh5s,Estudiantes construyen deshidratador solar,"Nov 23, 2022",139,8,0.1153,0,108,3.7
9CQ4WxPo0yw,Comercial #Empodérate de la Universidad Ean,"Oct 21, 2018",64,8,0.0617,0,98,1.02
QIU-5BfjUG0,"¡Conoce a Paula Perotti, nueva Gerente General de nuestra U.! 💚","Jul 27, 2022",131,8,0.0924,0,13,0
4djapgchlpA,Fernando Anzures visitará la Universidad Ean,"Feb 25, 2019",44,8,0.0107,0,66,1.52
 -Jk5mbbffTU,¿Qué herramientas tenemos para el Entorno Híbrido de Aprendizaje?,"Aug 10, 2021",160,8,0.201,0,9,11.11
noM2C0ItWrI,Egresada de Ingeniería de producción nos cuenta su experiencia,"Sep 23, 2016",190,7,0.1717,1,100,6
Gga8bsLk7I0,La idea que impacta a productores rurales a través de modelos de conocimiento,"Nov 8, 2023",173,7,0.2167,0,9,0
mopTuZ3csEc,💡 ¡Trae tu idea de negocio al Instituto para el Emprendimiento Sostenible!,"Oct 29, 2021",68,7,0.0716,0,14,0
po2irNNMmhg,El estilo lo pone la #TiendaEan 🛒,"Feb 7, 2026",19,7,0.0119,0,119,2.52
LyR95n203JU,Carrera en Lenguas Modernas | SNIES: 4948 - 90320 | Vigilada Mineducación,"Oct 21, 2019",15,7,0.0267,0,49,12.24
QbHVSDOvQS0,"Torna, el emprendimiento que transforma los residuos contaminantes en productos de aseo","Dec 29, 2023",166,7,0.171,0,21,0
vVvGbnIVd6A,¿Cómo renovar el préstamo de libros en Biblioteca? / Tutorial,"Jun 25, 2019",114,7,0.0463,0,48,4.17
vq9dvC9-SpM,Ean Legacy,"Jan 7, 2021",34,7,0.0424,0,23,0
r2IfMZyN6c4,¡Así serán los nuevos espacios del Ean Legacy!,"Dec 17, 2019",61,7,0.058,0,38,7.89
uWXtigU4nKo,La tecnología limpia que busca usar el poder del emprendimiento,"Jul 21, 2023",188,7,0.2019,0,7,0
dl4PACOG-4Q,Maestría en Comercio Electrónico vs Maestría en Mercadeo Digital,"Apr 2, 2024",67,7,0.114,0,130,0.77
uzv19OOQas8,Para Gigliola Aycardi la educación ha sido clave para liderar e innovar en Bodytech,"Jul 9, 2025",33,7,0.0198,0,49,4.08
W_hig9OI_LM,¿Ya conoces a tu mejor aliado en tu aventura universitaria?,,114,6,0.1736,0,0,
bmn8eZNh-3w,Programa de Intercambio Académico Internacional de Corta Duración - Misión Académica,"Oct 27, 2015",214,6,0.142,0,5,0
2OI-GyPDAuY,Estudiar en #EanVirtual sí te prepara para el mundo real 🌎,"Nov 5, 2025",63,6,0.0133,0,86,1.16
goNeFmG4a0M,Mientras tú no estabas: El Altavoz (junio de 2024),"Jul 19, 2024",190,6,0.0317,0,53,5.66
tJuGvOWFOFQ,¿Sabías que en Colombia se construye un hito de construcción sostenible?,"Jul 28, 2017",108,6,0.1147,0,18,22.22
VnJ5FJe1bQg,¿Cómo realizar tu proceso de inscripción de unidades de estudio?,"May 30, 2019",78,6,0.1393,0,1,0
KKUagt5-H1I,¿Por qué estudiar una Ingeniería con la Universidad EAN?,"Aug 11, 2015",321,6,0.3235,0,45,8.89
5XAGBw6Ouww,¡El Altavoz en 60 segundos! Edición abril de 2023,"May 30, 2023",81,6,0.0455,0,26,11.54
h2elOiYM4D0,La Universidad Ean desarrolla un perro robot para ayudar a personas en condición de discapacidad,"Aug 17, 2023",367,6,0.1357,0,8,25
iah1WO4bCcI,Pasa de lo técnico al liderazgo con el MBA en Ingeniería de la Universidad Ean.,"Feb 18, 2026",55,6,0.0076,0,66,1.52
sJBRcepUA9E,¿Cómo revisar tus calificaciones en SAP?. Ver tutorial,"Aug 28, 2017",92,6,0.0863,0,22,18.18
AF682yi3SC0,Universidad Ean ofrece alternativas para hacerle frente a la baja de matrículas en universidades,"Jun 26, 2023",522,6,0.3228,0,61,9.84
pWrk3tTZWMc,EANista de pregrado virtual y presencial: conoce cómo generar tu recibo de pago,"Dec 14, 2017",243,6,0.109,0,31,3.23
fVGqzMYhtB0,Entrevista EAN con Gigliola Aycardi,"Jun 6, 2018",131,6,0.0642,0,21,4.76
HaM-B5aEL9o,Un concepto que hará volar tu mente: Emprendimiento Sostenible,"Apr 24, 2018",99,6,0.0565,0,42,7.14
EorJPwYQJyE,¡El Altavoz en 60 segundos! Edición julio y agosto de 2023,"Oct 4, 2023",89,6,0.0465,0,42,9.52
pwd7XYOVSQU,Neuromarketing: la estrategia de Disney para facturar,"Aug 29, 2019",95,6,0.0962,0,55,7.27
8imHw23ojhY,Conoce el Sistema Interno de Aseguramiento de la Calidad de la Ean,,289,6,0.2043,0,0,
p7gg4Hq1IrQ,Maestría en Mercadeo Digital,"Apr 2, 2024",67,6,0.1111,0,34,0
yWrSCY4SfQw,"Domina idiomas, conecta culturas y crea impacto global con nuestro programa en Lenguas Modernas","Dec 27, 2025",38,6,0.0359,0,43,2.33
K22shfmC7P8,Laboratorios | Ingeniería | Universidad EAN,"Apr 10, 2018",218,5,0.2074,0,25,12
RaRCN-tHWuc,"#PodcastEan | Emprender con Éxito: entrevista con Leonardo Gaitán, CEO de Autoparti","Aug 20, 2025",1688,5,1.487,0,98,1.02
DkTC2T7ft_8,Psicopedagogía y psicosocial,,71,5,0.0333,0,0,
7e3AGZOlml0,Lidera con propósito: el #MBA que transforma tu futuro 💪,"Nov 14, 2025",41,5,0.0121,0,32,3.13
DUin1amf6PY,¡Tengamos buenas prácticas digitales en casa!,"Aug 12, 2020",86,5,0.0586,0,26,3.85
9y66kS8F5Pk,Doctorado en Gestión,"Aug 10, 2015",127,5,0.0752,0,21,14.29
jiVRIckCOus,"La nueva ingeniería es creativa, consciente y con impacto real. Conoce más en nuestro podcast.","Jun 17, 2025",23,5,0.0139,0,61,1.64
V5bRzXIxhiI,El agua de Bogotá es potable,"May 7, 2024",270,5,0.121,0,38,10.53
IqNV_wwjUL0,Estrategias de ventas de útiles escolares en tiendas de barrio,"Feb 6, 2024",724,5,0.2384,0,15,0
VlpgnaZ5LKo,"Con Ean virtual, encuentra ese espacio de equilibrio entre tu vida y #EstudiarParaCrear.","Jul 23, 2025",45,5,0.0613,0,69,4.35
OtoPKEtP-Tc,1.1 Conoce al doctor Fred Luskin y por qué empezó a estudiar el perdón | #EanX,,679,5,0.3908,0,1,0
CU7C_OHfcDQ,Conoce los cambios en el cumplimiento de créditos de lenguas extranjeras,"Jan 31, 2024",37,5,0.0503,0,18,0
jkqiXoEi--4,Conoce nuestra nueva Maestría en Comercio Electrónico,"Dec 18, 2023",38,5,0.0373,0,36,0
3dlaiENCluE,Artritis reumatoide en Colombia,"Sep 7, 2023",259,5,0.1639,0,51,3.92
4XDnKO-C-ok,¡Ojo! Esto es lo que pasa si tiras el chicle a la calle,"Feb 10, 2021",99,5,0.0658,0,22,18.18
1Sf5TUyL2l8,¡El Altavoz en 60 Segundos! Edición septiembre y octubre de 2023,"Dec 11, 2023",84,5,0.0883,0,38,10.53
wpiWwAoa2zQ,Ean Legacy,"Jan 6, 2021",31,5,0.0313,0,39,5.13
Q4VFP9fDa9I,"No es viajar, es jugar en ligas globales, con la U Ean 👊","Dec 16, 2025",57,5,0.0116,0,21,4.76
F-WukAMBFWM,Domina la IA y toma el control de tu futuro,"Jun 25, 2024",124,5,0.0362,0,28,3.57
nQUU7Qn2VEk,Somos la U. de #5EstrellasEan a nivel mundial 🌍 por #QSStars 🌟,,46,5,0.032,0,0,
Te8H2QAuRE8,"El arte no solo expresa, también transforma ✨","Oct 5, 2025",30,5,0.0219,0,25,8
