Fecha,Tiempo de reproducción (horas)
2022-01-06,74.3616
2022-01-07,77.9343
2022-01-08,66.2467
2022-01-09,78.9021
2022-01-10,89.7201
2022-01-11,91.7041
2022-01-12,81.377
2022-01-13,72.9022
2022-01-14,71.536
2022-01-15,98.1314
2022-01-16,77.5245
2022-01-17,68.3251
2022-01-18,87.2014
2022-01-19,73.0508
2022-01-20,74.6704
2022-01-21,80.0953
2022-01-22,66.6025
2022-01-23,89.5695
2022-01-24,86.8849
2022-01-25,82.2364
2022-01-26,70.91
2022-01-27,53.0054
2022-01-28,53.5631
2022-01-29,51.3407
2022-01-30,64.6883
2022-01-31,64.4363
2022-02-01,64.9066
2022-02-02,69.7956
2022-02-03,63.6056
2022-02-04,69.5624
2022-02-05,69.0394
2022-02-06,77.4559
2022-02-07,48.5337
2022-02-08,65.2278
2022-02-09,81.6669
2022-02-10,60.9864
2022-02-11,61.2961
2022-02-12,58.4409
2022-02-13,97.4206
2022-02-14,95.2782
2022-02-15,106.2438
2022-02-16,88.3029
2022-02-17,89.688
2022-02-18,80.4825
2022-02-19,81.7133
2022-02-20,114.9553
2022-02-21,81.6209
2022-02-22,83.6622
2022-02-23,84.8087
2022-02-24,103.6043
2022-02-25,105.6583
2022-02-26,102.6918
2022-02-27,117.8902
2022-02-28,100.5393
2022-03-01,85.9617
2022-03-02,99.029
2022-03-03,114.9879
2022-03-04,94.1607
2022-03-05,65.5617
2022-03-06,96.4683
2022-03-07,96.2964
2022-03-08,102.3412
2022-03-09,77.058
2022-03-10,98.6193
2022-03-11,150.6658
2022-03-12,169.384
2022-03-13,100.8484
2022-03-14,143.4356
2022-03-15,149.9164
2022-03-16,133.7714
2022-03-17,136.963
2022-03-18,110.3388
2022-03-19,101.8116
2022-03-20,139.1951
2022-03-21,182.5451
2022-03-22,136.8701
2022-03-23,122.5925
2022-03-24,123.8882
2022-03-25,148.6888
2022-03-26,154.9566
2022-03-27,185.5409
2022-03-28,207.6982
2022-03-29,213.4601
2022-03-30,190.4519
2022-03-31,177.1778
2022-04-01,195.2048
2022-04-02,209.5762
2022-04-03,248.6043
2022-04-04,224.1551
2022-04-05,230.8194
2022-04-06,180.9027
2022-04-07,185.2453
2022-04-08,206.7763
2022-04-09,148.1754
2022-04-10,234.0961
2022-04-11,198.1136
2022-04-12,196.1144
2022-04-13,158.9707
2022-04-14,179.0526
2022-04-15,181.7218
2022-04-16,194.0659
2022-04-17,222.5855
2022-04-18,190.7607
2022-04-19,196.9152
2022-04-20,144.4124
2022-04-21,187.3933
2022-04-22,153.1312
2022-04-23,163.079
2022-04-24,210.8492
2022-04-25,203.3461
2022-04-26,156.7612
2022-04-27,127.3605
2022-04-28,156.3138
2022-04-29,136.1267
2022-04-30,149.5035
2022-05-01,191.1967
2022-05-02,165.0395
2022-05-03,145.0791
2022-05-04,152.333
2022-05-05,149.2128
2022-05-06,144.5403
2022-05-07,133.599
2022-05-08,133.4437
2022-05-09,139.2841
2022-05-10,138.2391
2022-05-11,150.4619
2022-05-12,132.1038
2022-05-13,127.8393
